"","ggF","VBF","Top","Z->tt","Z->ll","DiBoson","Fakes","SM Higgs","Total Bkg.","Data","Data/Bkg"
"Cut Base","3242.35 +/- 5.88","284.34 +/- 0.68","1855234.20 +/- 898.97","912252.15 +/- 1259.58","","184976.68 +/- 233.39","35694063.96 +/- 64352.28","3243.06 +/- 5.86","44035582.91 +/- 65745.74","42173465","0.96 +/- 0.00"
"Cut Channel","3176.68 +/- 5.83","271.34 +/- 0.66","863544.05 +/- 598.92","581470.53 +/- 1044.53","","81196.63 +/- 159.97","15936376.75 +/- 49840.62","1787.82 +/- 4.39","18372896.18 +/- 50475.60","17507692","0.95 +/- 0.00"
"Cut Hadronic Tau","3045.89 +/- 5.72","242.04 +/- 0.63","863544.05 +/- 598.92","581470.53 +/- 1044.53","","81196.63 +/- 159.97","15936376.75 +/- 49840.62","1787.82 +/- 4.39","18372896.18 +/- 50475.60","17507692","0.95 +/- 0.00"
"Cut Trigger","2936.65 +/- 5.62","225.40 +/- 0.60","747576.16 +/- 552.11","327835.61 +/- 705.96","","70845.83 +/- 150.18","16042731.90 +/- 46447.02","1303.46 +/- 3.70","17899700.89 +/- 47050.45","17150842","0.96 +/- 0.00"
"Cut NPVX","2754.84 +/- 5.44","210.23 +/- 0.58","702946.97 +/- 535.30","304382.92 +/- 683.26","","66433.97 +/- 144.93","15921151.31 +/- 44433.15","1221.40 +/- 3.59","17656278.13 +/- 45050.72","16952130","0.96 +/- 0.00"
"Cut LepQual","2632.40 +/- 5.31","202.58 +/- 0.57","669385.63 +/- 520.36","288629.62 +/- 663.20","","63820.19 +/- 141.63","13002424.18 +/- 43551.75","1156.31 +/- 3.48","14649329.82 +/- 44171.24","13978796","0.95 +/- 0.00"
"Cut TauQual","2594.85 +/- 5.27","199.94 +/- 0.57","654007.63 +/- 514.27","282537.44 +/- 657.06","","61880.63 +/- 139.46","12558776.00 +/- 43142.75","1138.35 +/- 3.45","14159701.69 +/- 43760.28","13504580","0.95 +/- 0.00"
"Cut OS","2551.38 +/- 5.22","196.60 +/- 0.56","428556.67 +/- 416.35","265900.61 +/- 612.56","","42222.52 +/- 116.68","7691105.80 +/- 28917.12","1051.13 +/- 3.34","8752936.54 +/- 29717.63","8323578","0.95 +/- 0.00"
"Cut Tau/AntiTau","1529.13 +/- 4.05","119.11 +/- 0.44","45217.91 +/- 138.82","144218.69 +/- 426.94","","6607.64 +/- 38.02","511317.69 +/- 10679.70","603.74 +/- 2.55","743301.55 +/- 10723.16","564526","0.76 +/- 0.01"
"LepPt > 27 GeV","1524.42 +/- 4.04","118.49 +/- 0.44","36244.61 +/- 124.93","132343.49 +/- 398.71","","5645.66 +/- 32.97","1391641.35 +/- 2189.99","580.76 +/- 2.50","1593232.06 +/- 2336.53","475228","0.30 +/- 0.00"
"TauPt > 25 GeV","1394.50 +/- 3.86","110.05 +/- 0.42","31841.23 +/- 117.22","108750.96 +/- 350.31","","4841.41 +/- 30.62","907907.36 +/- 1559.10","532.96 +/- 2.40","1077866.50 +/- 1731.19","345220","0.32 +/- 0.00"
"Cut Zee Veto","1394.50 +/- 3.86","110.05 +/- 0.42","31841.23 +/- 117.22","108750.96 +/- 350.31","","4841.41 +/- 30.62","907907.36 +/- 1559.10","532.96 +/- 2.40","1077866.50 +/- 1731.19","345220","0.32 +/- 0.00"
"cos(Dphi) > -0.35","1228.08 +/- 3.65","91.73 +/- 0.38","22703.20 +/- 99.63","101947.30 +/- 335.17","","2965.25 +/- 23.39","87814.98 +/- 360.01","487.17 +/- 2.29","237349.18 +/- 788.44","240252","1.01 +/- 0.00"
"Dn(l,t) < 2","1188.17 +/- 3.58","89.82 +/- 0.38","19745.61 +/- 93.01","101544.90 +/- 334.20","","2549.48 +/- 21.50","70572.88 +/- 334.17","482.53 +/- 2.28","215918.69 +/- 771.38","218957","1.01 +/- 0.00"
"Nbjet = 0","1113.37 +/- 3.43","78.64 +/- 0.34","1817.55 +/- 25.94","95464.88 +/- 314.59","","2247.58 +/- 20.10","59417.73 +/- 320.30","438.64 +/- 2.16","179283.54 +/- 740.07","185091","1.03 +/- 0.00"
"Preselection","1113.37 +/- 3.43","78.64 +/- 0.34","1817.55 +/- 25.94","95464.88 +/- 314.59","","2247.58 +/- 20.10","65237.46 +/- 343.23","438.64 +/- 2.16","185103.27 +/- 750.28","185091","1.00 +/- 0.00"
"TauPt > 45 GeV","453.32 +/- 2.15","42.85 +/- 0.25","895.17 +/- 18.41","12027.74 +/- 113.19","","1046.20 +/- 13.67","13570.67 +/- 128.44","180.27 +/- 1.35","30818.58 +/- 296.31","30554","0.99 +/- 0.01"
"SR1: m_T(l,MET) > 40 GeV","282.54 +/- 1.68","29.07 +/- 0.21","684.74 +/- 16.14","1984.39 +/- 50.24","","760.22 +/- 11.78","8747.56 +/- 97.18","35.63 +/- 0.60","12982.06 +/- 156.53","12338","0.95 +/- 0.01"
"SR1: m_T(t,MET) < 30 GeV","211.56 +/- 1.44","23.19 +/- 0.19","246.51 +/- 9.21","1317.07 +/- 39.20","","329.78 +/- 7.75","4250.47 +/- 81.49","21.68 +/- 0.45","6686.33 +/- 126.69","6703","1.00 +/- 0.02"
"TauPt > 45 GeV","453.32 +/- 2.15","42.85 +/- 0.25","895.17 +/- 18.41","12027.74 +/- 113.19","","1046.20 +/- 13.67","13570.67 +/- 128.44","180.27 +/- 1.35","30818.58 +/- 296.31","30554","0.99 +/- 0.01"
"SR2: m_T(l,MET) < 40 GeV","170.78 +/- 1.34","13.78 +/- 0.14","210.43 +/- 8.85","10043.35 +/- 101.43","","285.98 +/- 6.94","4823.11 +/- 83.98","144.64 +/- 1.21","17836.52 +/- 251.59","18216","1.02 +/- 0.02"
"SR2: m_T(t,MET) < 60 GeV","133.33 +/- 1.19","11.20 +/- 0.13","64.82 +/- 4.56","6346.12 +/- 77.72","","133.40 +/- 4.57","2136.19 +/- 71.49","74.59 +/- 0.85","10629.44 +/- 222.69","10975","1.03 +/- 0.02"
"SR2: lephad_vis_mass > 100 GeV","123.77 +/- 1.16","9.25 +/- 0.12","25.07 +/- 2.88","548.48 +/- 18.37","","58.55 +/- 3.58","1118.91 +/- 24.54","16.60 +/- 0.41","1916.33 +/- 62.62","1906","0.99 +/- 0.04"
"SR3: LepPt > 45 GeV","919.76 +/- 3.14","58.29 +/- 0.30","1301.05 +/- 22.31","9181.74 +/- 80.05","","1561.56 +/- 16.96","30668.10 +/- 241.93","128.92 +/- 1.12","48913.88 +/- 409.83","54935","1.12 +/- 0.01"
"SR3: TauPt < 45 GeV","467.06 +/- 2.27","21.44 +/- 0.18","272.08 +/- 9.75","2231.60 +/- 37.66","","440.19 +/- 9.41","19450.19 +/- 199.91","32.00 +/- 0.62","25440.37 +/- 300.52","25481","1.00 +/- 0.01"
"VBF SR","10.07 +/- 0.28","19.67 +/- 0.17","72.71 +/- 4.91","317.94 +/- 13.01","","40.50 +/- 3.24","186.22 +/- 7.73","10.81 +/- 0.20","674.56 +/- 23.13","699","1.04 +/- 0.05"
